SMILE,IP,EA,HomoLumoGap
NN=O,0.355836192,-0.075403446,-0.431239638
C=C(C(=O)O)O,0.340323756,-0.041696841,-0.382020597
C=CN=C,0.3289622,-0.060496925,-0.389459125
C(C(=O)O)[N+](=O)[O-],0.393400262,-0.028047399,-0.421447661
C(CN=[N+]=[N-])N,0.325608144,-0.067742945,-0.393351089
C(NCO)O,0.341446522,-0.138770692,-0.480217214
C(N)[N+](=O)[O-],0.367447873,-0.045218938,-0.412666811
CC([N+](=O)[O-])[N+](=O)[O-],0.406223303,0.010383024,-0.395840279
C([N+](=O)[O-])[N+](=O)[O-],0.418752116,0.012878965,-0.405873151
C(CN=[N+]=[N-])N=[N+]=[N-],0.334340301,-0.037966831,-0.372307132
C(#N)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],0.441181042,0.068611517,-0.372569525
C=CC=CC=O,0.330923048,0.000669568,-0.33025348
C=CC#CC=C,0.296239581,-0.024958337,-0.321197918
CCOC#C,0.332770007,-0.145841274,-0.478611281
C=CCOC=O,0.354602742,-0.088165842,-0.442768584
C(C[N+](=O)[O-])[N+](=O)[O-],0.395468315,0.006219992,-0.389248323
N(=O)[N+](=O)[O-],0.376289823,0.042824156,-0.333465667
CC(=C)C#C,0.32219045,-0.065397274,-0.387587724
C(=O)(N)N[N+](=O)[O-],0.388070841,-0.019911771,-0.407982612
CCOO,0.3646685,-0.130138377,-0.494806877
COCO,0.371144874,-0.160529902,-0.531674776
COCN=C=O,0.371851261,-0.11102923,-0.482880491
CCC(=O)OO,0.390669227,-0.084349055,-0.475018282
[N+](=O)([O-])OO,0.434235742,-0.031687958,-0.4659237
C(=NN)(N)NO,0.287042662,-0.118979914,-0.406022576
C(=O)OO,0.414607309,-0.087838757,-0.502446066
C(=N)C(=O)C=N,0.341643134,0.021281976,-0.320361158
[N+](=O)([O-])O[N+](=O)[O-],0.444539147,0.021188536,-0.423350611
CC(=O)C[N+](=O)[O-],0.372781363,-0.019534176,-0.392315539
COC(=O)CO,0.376139873,-0.094445459,-0.470585332
CC(=N)N,0.334431588,-0.127568113,-0.461999701
CC(=NO)C,0.335499269,-0.108429633,-0.443928902
C(=N)N,0.345634969,-0.136285423,-0.481920392
C(CO)C(=O)O,0.36709215,-0.092079681,-0.459171831
C(=O)(C(=O)NN)N,0.335671871,-0.050535975,-0.386207846
CC#CC(=O)O,0.360718572,-0.049924124,-0.410642696
C(C(=O)N)N,0.328159145,-0.120712433,-0.448871578
C(C(=O)N)O,0.362696689,-0.11307348,-0.475770169
CCOC(=O)C#N,0.411717812,-0.021243453,-0.432961265
CCON,0.361618613,-0.155636059,-0.517254672
COCC#C,0.354838315,-0.117856487,-0.472694802
C#CCCC#C,0.340790471,-0.114771044,-0.455561515
C(COC=O)O,0.364077955,-0.086634832,-0.450712787
C(C#N)NCC#N,0.375330105,-0.066815113,-0.442145218
CC(=O)C#N,0.402139415,-0.006085676,-0.408225091
C(=O)C(O)O,0.380388295,-0.051726576,-0.432114871
C(=C(C#N)C#N)N,0.331273746,-0.022880289,-0.354154035
COC=C(C#N)C#N,0.352005768,-0.006347783,-0.358353551
CN=O,0.348010031,-0.034552879,-0.38256291
COC(=O)C=O,0.368327028,-0.007554902,-0.37588193
CC=[N+]=[N-],0.303945546,-0.05896794,-0.362913486
CC(=N)CC#N,0.372058606,-0.066540157,-0.438598763
CC(=CC#N)N,0.304977209,-0.068105676,-0.373082885
C(=O)NC(=O)N,0.367804645,-0.068801476,-0.436606121
C(=O)(NN)NN,0.338162507,-0.130325998,-0.468488505
C(=CC(=O)O)C=O,0.363930159,0.01950353,-0.344426629
C=CC=CC#N,0.333401578,-0.002797732,-0.33619931
C(=O)(C(=O)NO)NO,0.338501374,-0.034845001,-0.373346375
COCC#N,0.390931057,-0.098738955,-0.489670012
C(CO)C=O,0.354759446,-0.064015986,-0.418775432
C(#N)NC(=O)N,0.381654946,-0.097508114,-0.47916306
CC(=O)OC=O,0.379885513,-0.045326977,-0.42521249
C(C(=O)N)C(=O)O,0.351954618,-0.078334702,-0.43028932
C(=CC=O)C=O,0.357696342,0.030074195,-0.327622147
C(N)N,0.324009612,-0.149416655,-0.473426267
COC(=N)N,0.332879279,-0.140437784,-0.473317063
CC(=O)CC#N,0.36773874,-0.051935673,-0.419674413
C(C(=O)O)NC=O,0.358341446,-0.077700862,-0.436042308
C=CC#CCO,0.318893198,-0.051625927,-0.370519125
C(CC#N)C=O,0.374686822,-0.054037373,-0.428724195
C=CN=C=O,0.343010184,-0.06797075,-0.410980934
C=C[N+](=O)[O-],0.403789147,-3.9501E-05,-0.403828648
C(#N)C(=O)N,0.411541618,-0.038740198,-0.450281816
C(=O)N=C(N)N,0.332070564,-0.070685247,-0.402755811
CC(=C)[N+](=O)[O-],0.383723174,-0.003599549,-0.387322723
COC(=O)O,0.402162935,-0.143289654,-0.545452589
C(O)O,0.39263277,-0.159852267,-0.552485037
C(=C(C=O)O)O,0.316456031,-0.028077955,-0.344533986
CN=[N+]=[N-],0.358853243,-0.075845558,-0.434698801
CCC[N+]#[C-],0.399211434,-0.121449985,-0.520661419
CC(=O)C(=O)N,0.337854631,-0.02662226,-0.364476891
CCN=[N+]=[N-],0.351139855,-0.074174529,-0.425314384
CC(C)N=O,0.325646091,-0.029693856,-0.355339947
CCN=O,0.335407273,-0.035271241,-0.370678514
C(C#N)NC(=O)N,0.365057018,-0.09289383,-0.457950848
C(=N)=NC#N,0.39281888,-0.041958317,-0.434777197
COC(=O)NN,0.354274958,-0.139432218,-0.493707176
C(=NO)(N)N,0.29541639,-0.140144956,-0.435561346
C=NN,0.337363012,-0.110450356,-0.447813368
CN(C(=O)N)O,0.334909327,-0.110280961,-0.445190288
C(=O)(C(=O)C(=O)O)C(=O)O,0.352332764,0.0320779,-0.320254864
C(NC=O)O,0.370795222,-0.104158376,-0.474953598
C=CNC=O,0.322888796,-0.076911359,-0.399800155
COC(=N)C#N,0.389330511,-0.034805222,-0.424135733
C(C(=O)O)NN,0.331240204,-0.096944205,-0.428184409
C(=O)C(=O)C(=O)C(=O)C=O,0.343916448,0.072197241,-0.271719207
C(CO[N+](=O)[O-])O,0.380412543,-0.025122242,-0.405534785
C(=O)([N+](=O)[O-])O,0.424486539,0.019654629,-0.40483191
COC(=O)NC#N,0.380426446,-0.088810034,-0.46923648
COCC=O,0.343756806,-0.066368754,-0.41012556
C=NC(=O)N,0.348613403,-0.044727287,-0.39334069
CCN(C#N)N=O,0.37056838,-0.004612374,-0.375180754
C(C(=O)NO)N,0.328226842,-0.103268546,-0.431495388
CONC(=O)N,0.342120106,-0.124214732,-0.466334838
CN(C=O)N=O,0.349874881,-0.001849861,-0.351724742
CNCC#C,0.321788114,-0.126283636,-0.44807175
CNC(=O)NO,0.339907756,-0.122526531,-0.462434287
C(=O)(C(=O)NO)N,0.334313224,-0.03919608,-0.373509304
C#CC=CCO,0.318572371,-0.058451804,-0.377024175
COC=CC#C,0.296858167,-0.079052089,-0.375910256
C(#N)C(C(=O)N)N,0.353785541,-0.076361262,-0.430146803
CC(C=O)C=O,0.348994522,-0.032979987,-0.381974509
C(C(=O)C=O)O,0.3686891,0.019994299,-0.348694801
C#CC(=O)N,0.377902876,-0.062381025,-0.440283901
C=C(O)O,0.312391761,-0.136831224,-0.449222985
C(NC(=O)N)N=O,0.333061194,-0.015283643,-0.348344837
C(=O)(N)NN=O,0.358707172,-0.021463566,-0.380170738
CCOC(=O)O,0.391083821,-0.13708979,-0.528173611
CC=CN=C=O,0.323307955,-0.071048182,-0.394356137
CNN=O,0.338910685,-0.073851997,-0.412762682
C=C(N)ON,0.281224853,-0.129517078,-0.410741931
C#CC#CC#N,0.367932615,0.003511963,-0.364420652
C(N=C=O)N=C=O,0.381524077,-0.06423529,-0.445759367
CNC(=O)NN=O,0.348728658,-0.02148473,-0.370213388
NN=N,0.366571941,-0.099476699,-0.46604864
C(#N)C(C#N)(C#N)N,0.423225701,-0.012475141,-0.435700842
CN(CO)N=O,0.33266689,-0.052602475,-0.385269365
CNC#N,0.356455928,-0.115841045,-0.472296973
C(#N)C(=N)C(=N)C#N,0.415904111,0.05938884,-0.356515271
C(CO)N=[N+]=[N-],0.355212611,-0.062484276,-0.417696887
C=N,0.386041088,-0.102116615,-0.488157702
C#CC=CC#C,0.309451352,-0.020650089,-0.330101441
C=CCC=O,0.33611743,-0.06037743,-0.39649486
N(=O)OO,0.413549801,-0.03592774,-0.449477541
CN=N,0.351416166,-0.066865283,-0.418281449
C#CO,0.358928048,-0.130628093,-0.489556141
COO[N+](=O)[O-],0.403141757,-0.032293121,-0.435434878
C(=O)(C(=O)OO)OO,0.401040182,0.010246915,-0.390793267
C=C(C(=O)O)N,0.308344485,-0.053577951,-0.361922436
C(CO)NN=O,0.338102583,-0.050273769,-0.388376352
C(=O)N(C(=O)N)O,0.351756368,-0.06250845,-0.414264818
C=NN=C,0.349822865,-0.069003903,-0.418826768
C(=C=O)=C=O,0.391117254,-0.032468972,-0.423586226
CC(=C=O)C,0.306044311,-0.068606218,-0.374650529
C=CC[N+](=O)[O-],0.366630176,-0.034365193,-0.400995369
CC#CC=C,0.312315593,-0.065964491,-0.378280084
COOC,0.346478026,-0.131906245,-0.478384271
C(#N)N=[N+]=[N-],0.401282948,-0.01682938,-0.418112328
C=C(C#N)C#N,0.398501889,0.019714632,-0.378787257
C(=C(C#N)C#N)C#N,0.40264963,0.070825266,-0.331824364
C=C=CC#N,0.370709092,-0.036447066,-0.407156158
CC#CC=O,0.361846129,-0.030207299,-0.392053428
C(=CO)O,0.30209424,-0.130643023,-0.432737263
CC=CC#C,0.315352107,-0.064873569,-0.380225676
CN=C,0.356183661,-0.098180183,-0.454363844
COC#N,0.402124695,-0.130484176,-0.532608871
CNC=C,0.283875877,-0.136610143,-0.42048602
C#CCC(=O)O,0.354180514,-0.09170908,-0.445889594
CC(=[N+]=[N-])C,0.284858929,-0.059003671,-0.3438626
CC#CC#CC,0.309092887,-0.079994261,-0.389087148
C=CC[N+]#[C-],0.368655352,-0.094453918,-0.46310927
C=C=C=C,0.329533874,-0.036131158,-0.365665032
C#CC#CC#C,0.326414228,-0.021512675,-0.347926903
C=C=N,0.339770998,-0.098669965,-0.438440963
C(#CN=O)N=O,0.357392053,-0.022157932,-0.379549985
C(=C(C#N)C#N)=O,0.38193563,0.031741509,-0.350194121
COCOC=O,0.367647187,-0.101042355,-0.468689542
C=COC=C=C,0.295026104,-0.076515976,-0.37154208
CC(=C)N,0.291900226,-0.132798356,-0.424698582
CCC#CC#C,0.326052507,-0.070513184,-0.396565691
C(=C=O)C#N,0.367843949,-0.014575279,-0.382419228
CC#CC#C,0.330263007,-0.075312581,-0.405575588
CC=C=O,0.325883025,-0.068528125,-0.39441115
C#CC#CC#CC#C,0.307778558,0.008829653,-0.298948905
COC#C,0.339821673,-0.150537901,-0.490359574
CC#CC(=O)C,0.343495876,-0.038981517,-0.382477393
CC(C#N)(C#N)C#N,0.449905557,-0.033787505,-0.483693062
C=CC=CC#C,0.296476365,-0.024331142,-0.320807507
CC#CCC#C,0.329765546,-0.11629152,-0.446057066
C=CC=C=C,0.307743577,-0.058666503,-0.36641008
C=C=C=C=C,0.318850909,-0.03480836,-0.353659269
COC=C=C,0.30975965,-0.090100633,-0.399860283
CC#COC,0.314459639,-0.148209955,-0.462669594
CC#CC#N,0.379942007,-0.05055587,-0.430497877
C(#CC#N)C#CC#N,0.377751185,0.054493004,-0.323258181
CCC(=O)C#C,0.35699875,-0.031693101,-0.388691851
C=C=CCO,0.339249183,-0.097051308,-0.436300491
C#CCCC#N,0.379722241,-0.098137062,-0.477859303
CCC=C=O,0.321017332,-0.065614665,-0.386631997
CC=N,0.366361916,-0.106949434,-0.47331135
C(#N)N=C=O,0.418751581,-0.052222893,-0.470974474
C(#N)C(C#N)(C#N)C#N,0.475670423,-0.004025868,-0.479696291
C#CCC#C,0.348881474,-0.114264153,-0.463145627
CN([N+](=O)[O-])[N+](=O)[O-],0.405647981,0.014437244,-0.391210737
CC(=O)CC#C,0.333923577,-0.070099166,-0.404022743
CC(C=O)C#N,0.378467832,-0.036927403,-0.415395235
CC(=C)O,0.319629164,-0.136492043,-0.456121207
C=C=CC=C=C,0.298947394,-0.056884525,-0.355831919
C=C=CCC#C,0.331828566,-0.088945008,-0.420773574
C=COC#C,0.327813784,-0.097692872,-0.425506656
CN([N+](=O)C)[O-],0.299489872,-0.047828706,-0.347318578
CC(=N)C,0.352393952,-0.104470025,-0.456863977
C=CC=C=O,0.302206683,-0.047871905,-0.350078588
C#CCC=O,0.350613362,-0.061859117,-0.412472479
C=C=CC=O,0.34707747,-0.027469417,-0.374546887
CN=NOC,0.358050741,-0.07574413,-0.433794871
NN=NN,0.316878446,-0.094389737,-0.411268183
C=CN=O,0.329705323,0.002157494,-0.327547829
CCC#CC=O,0.358407086,-0.029415972,-0.387823058
CC=CO,0.31343617,-0.141465655,-0.454901825
C=CC(=C)O,0.304023296,-0.066649512,-0.370672808
C=C=C=O,0.332379635,0.000261597,-0.332118038
C(=N[N+](=O)[O-])(N)N=[N+]=[N-],0.368741452,0.004098529,-0.364642923
CC(=C=C=O)C,0.306075601,-0.00844029,-0.314515891
CC=NC,0.341975659,-0.102794333,-0.444769992
C=CC=CO,0.290706407,-0.076388046,-0.367094453
C=CC=N,0.360891094,-0.042500389,-0.403391483
CC=C=C=O,0.317611703,-0.005987528,-0.323599231
CC(=O)OCO,0.376293117,-0.092461459,-0.468754576
C=C(C#C)O,0.317180274,-0.071267703,-0.388447977
CCC(=O)C=O,0.349001928,0.002323915,-0.346678013
C=CC=NO,0.322273921,-0.049104779,-0.3713787
CNC(=O)ON,0.344754938,-0.139698766,-0.484453704
C(=[N+]=[N-])C(=O)C(=O)C=[N+]=[N-],0.334265339,0.022046489,-0.31221885
C(=O)(NN=O)O,0.369671615,-0.015230129,-0.384901744
CC(=NN)N,0.282186258,-0.12304104,-0.405227298
CCNN=O,0.333442054,-0.07057387,-0.404015924
CC(C)[N+]#[C-],0.39950493,-0.135452406,-0.534957336
C(=O)(N)NC(=O)O,0.368216117,-0.091687146,-0.459903263
C(C=O)C(=O)C(=O)O,0.349064339,-0.005726237,-0.354790576
CC(O)O,0.378682739,-0.153293683,-0.531976422
C(C(=O)O)(N)O,0.359108023,-0.089312265,-0.448420288
C(#N)C(C#N)N,0.403803982,-0.052953949,-0.456757931
CC(=O)NC#N,0.382451013,-0.064501225,-0.446952238
C(C=O)C#N,0.389420169,-0.041371884,-0.430792053
C(N=N)O,0.346326653,-0.070668307,-0.41699496
C=CNN=O,0.339948947,-0.034280855,-0.374229802
C(=O)(O)OC(=O)O,0.437822086,-0.066974729,-0.504796815
C(C(=O)O)N=[N+]=[N-],0.355043112,-0.057117497,-0.412160609
C(NN=O)O,0.34738809,-0.057797728,-0.405185818
C=[N+](O)[O-],0.345970168,-0.081206809,-0.427176977
C(=N)=N,0.394394533,-0.127007283,-0.521401816
C(=O)(NN)O,0.366625826,-0.140763218,-0.507389044
C(=O)(N)ON,0.367717274,-0.132037222,-0.499754496
C=CC(=O)C(=O)O,0.359986385,0.024568798,-0.335417587
C(C=CC=O)O,0.346781165,-0.026990777,-0.373771942
COC(=O)NO,0.343060655,-0.118205284,-0.461265939
CCNO,0.340332025,-0.155304338,-0.495636363
CC(=O)C=CO,0.338711845,-0.049359795,-0.38807164
CN=COC,0.342856781,-0.12322742,-0.466084201
OOO,0.4204153,-0.123082687,-0.543497987
C(O)OO,0.384556695,-0.119413455,-0.50397015
C=CC(=O)C=O,0.34762886,0.022778896,-0.324849964
C(=CN)C#N,0.31406485,-0.071955227,-0.386020077
C#CC(C(=O)O)O,0.363705066,-0.071336723,-0.435041789
C(NC#N)O,0.36708147,-0.104952056,-0.472033526
C#CC(=O)C(=O)O,0.374643373,0.029812746,-0.344830627
C(=C(O)O)O,0.280732752,-0.132697193,-0.413429945
CC(O)OO,0.376840331,-0.115502685,-0.492343016
CC(=O)ON,0.370308366,-0.101257764,-0.47156613
C=CCO[N+](=O)[O-],0.369843735,-0.037803084,-0.407646819
C(CO)N=O,0.338817885,-0.01452949,-0.353347375
C(=O)(O)OO,0.413032739,-0.086787554,-0.499820293
C=C(N)O,0.291757726,-0.136683663,-0.428441389
CN=NCO,0.346353743,-0.052816555,-0.399170298
C(C(=O)OO[N+](=O)[O-])O,0.393358806,-0.011035775,-0.404394581
CNC(=O)C(=O)O,0.361090308,-0.036246233,-0.397336541
CC(C=O)N,0.333164223,-0.071859599,-0.405023822
C(=C(N)N)[N+](=O)[O-],0.31500964,-0.036392292,-0.351401932
C(=CO)C(=O)C=O,0.335792768,0.010785045,-0.325007723
C(=C(C(=O)O)N)O,0.290356307,-0.053304085,-0.343660392
[C](O)O,0.364636431,-0.103665483,-0.468301914
C(C#CC(=O)O)N,0.341071051,-0.044685227,-0.385756278
C(=[N+]=[N-])C(=O)N,0.335664481,-0.020256711,-0.355921192
CNN=NC,0.308601101,-0.096443143,-0.405044244
NNNN,0.331527506,-0.143319426,-0.474846932
C(=N)=NC(=NC#N)N,0.33396827,-0.029365578,-0.363333848
C#CCOC(=O)C#C,0.35829663,-0.036715614,-0.395012244
C=COC=O,0.355086567,-0.067463747,-0.422550314
C(=O)(C(=O)O)NN,0.36256928,-0.030001879,-0.392571159
C(#N)C(=NO)C#N,0.397539344,0.032198127,-0.365341217
C(=CC(=O)N)C#N,0.374732449,0.004490667,-0.370241782
C#CCN,0.342477019,-0.125738964,-0.468215983
C(=C(C#N)C#N)NN,0.328865511,-0.018344542,-0.347210053
C(=NN)C=NN,0.278941483,-0.054701272,-0.333642755
C(CC(=O)O)C#N,0.390866646,-0.077343859,-0.468210505
C(=O)NO,0.349342037,-0.12267823,-0.472020267
C(=NNO)(N)N,0.282057792,-0.115730674,-0.397788466
COC(=O)C(=O)N,0.346849216,-0.042297418,-0.389146634
C=CNC(=O)N,0.306711762,-0.097589696,-0.404301458
C(C=O)C(=O)N,0.345151498,-0.052934868,-0.398086366
C(=CC#N)C=CC#N,0.346106966,0.042523177,-0.303583789
C(C(=O)N)[N+](=O)[O-],0.370506593,-0.013335079,-0.383841672
C(=O)(NN)NO,0.350854576,-0.116872886,-0.467727462
C(#N)C(C#N)C(=N)C#N,0.427101822,0.033650739,-0.393451083
C(=O)C(C=O)[N+](=O)[O-],0.390860292,0.010112533,-0.380747759
C(#N)C(C#N)N=O,0.384815248,0.053024506,-0.331790742
C(C(=O)NN)O,0.355581033,-0.103697823,-0.459278856
CC(C#N)C(=O)O,0.390555197,-0.069411177,-0.459966374
C(C#N)NC=O,0.380943997,-0.080028298,-0.460972295
C(C#CC(=O)O)O,0.363292897,-0.041306415,-0.404599312
C(#N)C(C(=O)N)N=O,0.353771563,0.02216284,-0.331608723
C(#N)NC(=NC#N)N,0.347219737,-0.039229624,-0.386449361
CC(C#N)N,0.372678633,-0.111238323,-0.483916956
C(C(=N)N)O,0.340980316,-0.114372384,-0.4553527
C(=O)C(=N)N,0.351775849,-0.031739378,-0.383515227
C=NN=C(N)N,0.293559327,-0.079756926,-0.373316253
C(=O)(N=NC(=O)O)O,0.354942782,0.017671816,-0.337270966
C(#N)C([N+](=O)[O-])[N+](=O)[O-],0.430781416,0.038279417,-0.392501999
CCOC=N,0.357159436,-0.123882501,-0.481041937
C=CCON,0.336919053,-0.103370142,-0.440289195
CN[N+](=O)[O-],0.381265406,-0.066483176,-0.447748582
COC(=O)C(=O)O,0.376905328,-0.022101586,-0.399006914
C(C(O)O)N,0.347230641,-0.142780448,-0.490011089
C(=CN)N,0.262897881,-0.149935478,-0.412833359
C(#N)C(C#N)C(=O)N,0.387617886,-0.052042748,-0.439660634
C(=N)C=N,0.366012028,-0.021559776,-0.387571804
C(=C[N+](=O)[O-])C(=O)O,0.388597832,0.039588089,-0.349009743
C(C#CC=O)O,0.364123372,-0.021227149,-0.385350521
C(=CO)C(=O)O,0.34734985,-0.058368673,-0.405718523
N(O)O,0.374613877,-0.149180954,-0.523794831
CC(NO)O,0.348913284,-0.138027001,-0.486940285
C(C(=CO)O)O,0.288729788,-0.117026938,-0.405756726
NNN,0.358105915,-0.146377023,-0.504482938
C(N)(O)O,0.365393473,-0.151234031,-0.516627504
N(O)(O)O,0.403291038,-0.131405483,-0.534696521
C(=O)(N)N=[N+]=[N-],0.376899398,-0.06499819,-0.441897588
CNC(=O)N=O,0.342111858,0.020211329,-0.321900529
C(=O)(N)N=O,0.351326731,0.018821151,-0.33250558
C(#N)C(=O)C#N,0.45092737,0.064245125,-0.386682245
N(=O)O[N+](=O)[O-],0.421497413,0.035676773,-0.38582064
CCC(=O)C#N,0.394813698,-0.006396417,-0.401210115
C(=C=C=O)=C=C=O,0.342845545,0.021667427,-0.321178118
C[C+]=N[O-],0.352950332,-0.13107556,-0.484025892
CC(N)O,0.346162656,-0.145407319,-0.491569975
C=CCC#C,0.34131017,-0.096018186,-0.437328356
C(N=O)O,0.368499158,-0.01098531,-0.379484468
C(C=CC#N)C#N,0.379779137,-0.018668478,-0.398447615
C=CCN=[N+]=[N-],0.34712329,-0.067564013,-0.414687303
C(#N)C(C(=O)O)N,0.374675664,-0.064533028,-0.439208692
CCOC#N,0.391728086,-0.126737913,-0.518465999
C[N+](=NOC)[O-],0.320208625,-0.057138957,-0.377347582
CN(C=O)C=O,0.377621404,-0.051161331,-0.428782735
CONOC,0.350216562,-0.155813064,-0.506029626
C=C=CCC=O,0.3274593,-0.054910379,-0.382369679
C(C#N)C(C#N)C#N,0.434358687,-0.037839293,-0.47219798
C=C(C#N)NC=O,0.343215027,-0.01888518,-0.362100207
CC=NOC,0.328947637,-0.099639949,-0.428587586
CCN=C,0.349894575,-0.092489311,-0.442383886
CC(=NC#N)N,0.343017634,-0.05668109,-0.399698724
CC(=C)OC=O,0.341031449,-0.070909932,-0.411941381
C(C#N)[N+](=O)[O-],0.429257258,-0.004661885,-0.433919143
CONC=O,0.361522051,-0.103330969,-0.46485302
C=C(C#N)N,0.327691144,-0.056225677,-0.383916821
C=CC(=O)C=C,0.33903025,-0.002318517,-0.341348767
C(C#N)C(C#N)N,0.385196643,-0.075106633,-0.460303276
COC(=O)C[N+]#[C-],0.378071296,-0.077179117,-0.455250413
C(=C(C#N)N)C#N,0.336024439,-0.00326465,-0.339289089
CC=NCC#N,0.367184992,-0.073994519,-0.441179511
CN=CC#N,0.382860904,-0.017634539,-0.400495443
C(=O)C(C=O)C=O,0.361489191,-0.008596744,-0.370085935
CC(=O)C#CC#C,0.342609305,0.00181123,-0.340798075
CC(C#N)(C#N)N,0.39438672,-0.060351568,-0.454738288
CC=C(C#N)C#N,0.375483978,0.011194593,-0.364289385
C=C(C#N)N=CN,0.310807843,-0.030459703,-0.341267546
C#CC#CCO,0.334678677,-0.052800681,-0.387479358
CCC=NO,0.346632523,-0.099674746,-0.446307269
C=C[N+]#[C-],0.376974622,-0.047466115,-0.424440737
C=C=C[N+]#[C-],0.360276486,-0.047165161,-0.407441647
C=CC(=O)C#N,0.391606138,0.021023143,-0.370582995
C=C(CC#N)N,0.313831085,-0.093785258,-0.407616343
C(C(=O)O)(O)O,0.386367958,-0.082888991,-0.469256949
COC=CC#N,0.338846186,-0.057416198,-0.396262384
C(#N)C(=C(N)N)C#N,0.31220702,-0.04262824,-0.35483526
C(=C(C#N)N=C(C#N)C#N)=N,0.350708035,0.069996066,-0.280711969
C(=C(C#N)C#N)=N,0.365287842,-0.004618201,-0.369906043
C(CON)O,0.335035499,-0.14122975,-0.476265249
C(=N)(N)N(N=O)[N+](=O)[O-],0.358434201,0.030668427,-0.327765774
C(C(O)O)(O)O,0.374753869,-0.129102689,-0.503856558
C=C(CO)C#C,0.326396958,-0.059588675,-0.385985633
C(C(=O)ON)N,0.342358677,-0.097207389,-0.439566066
NNN=[N+]=[N-],0.351739873,-0.047552131,-0.399292004
CC(=CO)C=O,0.335493666,-0.046295952,-0.381789618
C(=CO)C#N,0.350616478,-0.056850791,-0.407467269
CC(=O)ON[N+](=O)[O-],0.397423747,-0.028084142,-0.425507889
C(=N)C(=O)O,0.386438861,-0.022322006,-0.408760867
CC=[N+](O)[O-],0.320678368,-0.085318102,-0.40599647
C(C(=O)N)N=[N+]=[N-],0.346916565,-0.053338487,-0.400255052
C(=C(C#N)C(=O)N)O,0.35306827,-0.023279466,-0.376347736
C=C(C(=O)N)N,0.302505343,-0.066863781,-0.369369124
C(=NO)(N)NO,0.294034564,-0.11471757,-0.408752134
C(ON)ON,0.361151687,-0.136181361,-0.497333048
C(C(=NO)N)O,0.302794308,-0.121565908,-0.424360216
CC(=O)C(C#N)C#N,0.385653797,-0.013327999,-0.398981796
C(=N)(N)N=[N+]=[N-],0.340488797,-0.048371107,-0.388859904
C=CC(=N)N,0.318311323,-0.064136868,-0.382448191
C(C#N)N=[N+]=[N-],0.384757932,-0.037577955,-0.422335887
CC(=O)ONN,0.359457742,-0.100005675,-0.459463417
C(=O)C#N,0.427645154,0.007457897,-0.420187257
CC(=O)C(=O)C(=O)O,0.347375983,0.015930422,-0.331445561
C(=O)C(=O)C(=O)O,0.362815269,0.026277368,-0.336537901
C(C(=N)N)N,0.326650881,-0.123177674,-0.449828555
COC(=O)N=C=O,0.390573767,-0.062698678,-0.453272445
C(=O)(O)ON,0.397663176,-0.124909537,-0.522572713
C(C#N)OC=O,0.41180676,-0.067775078,-0.479581838
C(=O)(N)NN(O)O,0.35583325,-0.100075722,-0.455908972
C(=O)C(C=O)O,0.363640403,-0.020828354,-0.384468757
C(C=N)N,0.339594831,-0.1002848,-0.439879631
CC#CC(=O)N,0.340397459,-0.067781368,-0.408178827
CC(=O)CC=O,0.345153151,-0.030014494,-0.375167645
C(=NC#N)N,0.354998877,-0.057442994,-0.412441871
CC(=CC#N)O,0.335374563,-0.057671888,-0.393046451
C(=C(O)O)(O)O,0.260361272,-0.132459836,-0.392821108
CC(=NO)N=O,0.32794394,0.01116046,-0.31678348
CNN(O)O,0.347659336,-0.142959302,-0.490618638
C=C(C(=O)O)C(=O)O,0.376172871,0.007696359,-0.368476512
C(#N)C(C#N)N=C(C#N)C#N,0.430850614,0.082724633,-0.348125981
COC(O)O,0.377468696,-0.162157279,-0.539625975
C(O)(O)O,0.399666286,-0.153012059,-0.552678345
C(#N)C(C#N)C#N,0.461249061,-0.036981771,-0.498230832
CC(N)N,0.32762358,-0.144858561,-0.472482141
N(O)(O)OON(O)O,0.393069149,0.00760757,-0.385461579
CNCO,0.330992509,-0.144588664,-0.475581173
C(C(O)O)O,0.370044006,-0.141027481,-0.511071487
C(=N)(N)N=NN,0.324143026,-0.052760696,-0.376903722
NNNNN,0.321586034,-0.131887163,-0.453473197
OOOO,0.414963308,-0.10154291,-0.516506218
C#CC(O)O,0.370612809,-0.121345319,-0.491958128
C=CC(O)O,0.361374125,-0.094803177,-0.456177302
C(=N)=N[N+](=O)[O-],0.40629672,-0.004530985,-0.410827705
C[N+](=[N-])C,0.274125938,-0.086954929,-0.361080867
C(=N)=NC(=N)N,0.329744308,-0.067214596,-0.396958904
CNCN,0.307689585,-0.144755567,-0.452445152
C(#N)C(C#N)C(C#N)O,0.42336679,-0.035356874,-0.458723664
C(N)NC#N,0.342639092,-0.105273783,-0.447912875
C(=N)C=O,0.371831964,-0.004809298,-0.376641262
CC(=N)C(=O)O,0.368532892,-0.024901521,-0.393434413
CCC=N,0.357364761,-0.097823807,-0.455188568
C=C(NO)O,0.299698862,-0.128437745,-0.428136607
C(=O)(C(=O)[O])[O],0.461898737,-0.111087575,-0.572986312
C(C(=O)[O])[O],0.395155421,-0.062685649,-0.45784107
N(=O)OON=O,0.3946613,0.024769901,-0.369891399
N(=O)ON=O,0.388733329,0.030461644,-0.358271685
