SMILE,IP,EA,HomoLumoGap
C=CC=[O+]OO[O-],0.351519609,0.077220348,-0.274299261
CC(=NN=N)N,0.319239381,-0.047065439,-0.36630482
C(=O)NC(=NO)N,0.299250915,-0.070434814,-0.369685729
C(=CC=[O+][O-])C=[O+][O-],0.292397523,0.07974644,-0.212651083
CC(=O)NN=N,0.360539074,-0.031967897,-0.392506971
C(=CN=[N+]=[N-])C(=O)O,0.339889274,-0.005031675,-0.344920949
CNN=NN,0.298005994,-0.098073374,-0.396079368
C(=O)NN=NN,0.325025825,-0.049458145,-0.37448397
C(=O)C(=C(C=O)O)O,0.325364915,0.032123164,-0.293241751
C(=C(C#N)C(=O)C#N)=N,0.372619033,0.03906444,-0.333554593
C#CN=CC=O,0.334856537,0.029211249,-0.305645288
C(=N)[C+](C=O)C(=O)[O-],0.369294401,0.001955112,-0.367339289
C(=N)C=NC=N,0.341198622,0.008461767,-0.332736855
C(=C(N=O)[N+](=O)[O-])=N,0.324859562,0.009282763,-0.315576799
C=CC=[N+](C=O)[O-],0.299609667,0.021855587,-0.27775408
[C-]#C[C+]=CC(=N)N,0.329029016,0.06018841,-0.268840606
COC(=O)NN=N,0.366725016,-0.042766887,-0.409491903
C(=N)C(=NO)N,0.301276309,-0.0400846,-0.341360909
C(=O)(NN=NN=N)O,0.336076801,-0.025592666,-0.361669467
C(=NO)C(=NO)N,0.300059944,-0.037929227,-0.337989171
C(=O)(NN=N)O,0.386315971,-0.027724808,-0.414040779
C(=NO)C(=NO)[N+](=O)[O-],0.371063066,0.03489509,-0.336167976
CNN=CN=N,0.319893596,-0.024844724,-0.34473832
C(=[N+]=[N-])(C(=O)N)C(=O)O,0.346969282,-0.008619539,-0.355588821
C(=[N+]=[N-])C(=O)NN,0.330796792,-0.015615297,-0.346412089
C(=[N+]=[N-])N=O,0.325475532,-0.00534044,-0.330815972
C(=NO)C(=N)N,0.330978472,-0.046103619,-0.377082091
C(=NN)NC=O,0.305333282,-0.070241893,-0.375575175
C(=NN)NC(=O)O,0.300389441,-0.084427684,-0.384817125
CC(=O)N=CC=O,0.345163557,0.018190239,-0.326973318
C(=[N+](O)[O-])(N)N,0.269234858,-0.11716013,-0.386394988
CC(=O)C(=[N+]=[N-])[N+](=O)[O-],0.373006425,0.021908566,-0.351097859
C=C=C=C=CC(=O)O,0.328692675,0.008735322,-0.319957353
COC(C#C)C#N,0.379024788,-0.062909535,-0.441934323
C#CC=C(C=O)C=O,0.336737206,0.039036796,-0.29770041
C=C(C#N)C(=O)OO,0.386903796,0.022784731,-0.364119065
C(#N)N(C#N)OC(=O)OC#N,0.411075202,0.032571695,-0.378503507
C(=N)NC=O,0.367450941,-0.062428613,-0.429879554
C(#N)C(C#N)C(=O)C#N,0.428231688,0.055579322,-0.372652366
C[N+](=[C-]O)C,0.301093196,-0.123913917,-0.425007113
C(=O)C(=O)ONN,0.352404023,-0.004510924,-0.356914947
C(=N)C(=N)C(=N)C#N,0.367659159,0.032365856,-0.335293303
C(=O)[C]C=O,0.365277077,-0.032822346,-0.398099423
[C]([N+](=O)[O-])[N+](=O)[O-],0.377183366,0.072065878,-0.305117488
C#COOC(=O)O,0.366646387,0.00324414,-0.363402247
C(=O)C(=O)OC(=O)N,0.369533535,-0.001840043,-0.371373578
C(=CC(=O)ON=O)C#N,0.381062879,0.054691957,-0.326370922
